,Unnamed: 0,id,public_metrics,text,likecount,author_id,created_at,edit_history_tweet_ids
72,72,1581803937614528512,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@EricaBlacke @sonicdrivein Does it have whiskey,1,,,
73,73,1581801387834294273,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}","THIS!😋😋😋😋🔥🔥grape slush with nerds from @sonicdrivein
Soooo GOOD https://t.co/HPas3hQ5uw",1,,,
74,74,1581795220299329536,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",When you can’t find the faucet cover &amp; you are under a freeze warning @sonicdrivein coming through in pinch https://t.co/JcJkzc8moF,0,,,
75,75,1581789754315587585,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Benji says Wag Cup for the Win! He even saved some in his beard for later. Thanks for making our trips that much sweeter! #WagCup https://t.co/WbnCmJuVdp,0,,,
76,76,1581780599731167232,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein Thank u sonic 🫡,0,,,
77,77,1581776307368579073,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein https://t.co/FPPdyJn9ra,0,,,
78,78,1581769274053472256,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Hey @sonicdrivein an unannounced visit to your restaurant on 116th in Marysville WA is in order. Really.,0,,,
79,79,1581765122506489856,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@sonicdrivein What is a Facilities ADJ Fee of $0.38??? https://t.co/JswgNvWUWz,0,,,
80,80,1581758475742240768,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Best. Cover. Ever! John Ward will ALWAYS be the voice of the @Vol_Sports. ALWAYS! #VFL #GBO #GiveHimSix

I bet Heaven couldn’t keep John Ward from celebrating with Jack Cristil &amp; Larry Munson by drinking his @sonicdrivein drink from a hobnail boot!! https://t.co/W22PuAyVJy",1,,,
81,81,1581757486301708288,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",@sonicdrivein Thank you,1,,,
82,82,1581756938848641024,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}",The @hate5six video of @Scowl40831 at @sonicdrivein is perfect: https://t.co/qSyN7GqpaF #NowPlaying,6,,,
83,83,1581754712269164545,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Hey @sonicdrivein where’d your cheddar bites go?,1,,,
